"NYS Board of Elections President and Vice-President Election Returns Nov. 6, 2012",,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 6, 2012",,,,,,,,,,,,,,,
"DATED:  August 28, 2013      ( Kings* update June 9, 2013)  (New York* updated August 28, 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
County,Obama   Biden,Romney    Ryan,Romney    Ryan,Obama   Biden,Stein   Honkala,Lindsay  Osorio,Johnson             Gray,Goode    Clymer,,,County,Ross C. Anderson,Avery L. Ayers,Will Christensen,Stephen Durham,James Harris,Tom Hoefling,Merlin Miller,Jill Reed,Kevin Thorne,Jerry White,Blank,Void,Scattering,BVS Subtotal,Total
,DEM,REP,CON,WOR,GRN,PSL,LBT,CST,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,
 Albany,"83,979","40,210","4,854","3,577","1,238",52,"1,361",164,,, Albany,0,0,0,0,0,0,0,0,0,0,670,91,332,"1,093","136,528"
 Allegany,"5,866","9,377","1,013",273,162,8,168,28,,, Allegany,0,0,0,0,0,0,0,0,0,0,116,4,58,178,"17,073"
 Broome,"39,971","34,708","2,933","1,999",723,21,915,106,,, Broome,0,0,0,0,0,0,0,0,0,0,606,56,189,851,"82,227"
 Cattaraugus,"12,040","14,655","1,914",609,201,13,274,59,,, Cattaraugus,1,0,0,0,0,0,0,0,,1,346,0,0,346,"30,113"
 Cayuga,"16,105","11,646","1,808",902,243,11,285,81,,, Cayuga,0,0,0,0,0,0,0,0,0,0,462,0,88,550,"31,631"
 Chautauqua,"22,463","24,266","3,705","1,349",324,17,504,58,,, Chautauqua,0,0,0,0,0,0,0,0,0,0,331,0,166,497,"53,183"
 Chemung,"16,205","16,138","1,474",592,151,4,310,73,,, Chemung,0,0,0,0,0,0,0,0,0,0,193,0,63,256,"35,203"
 Chenango,"8,642","8,922",791,474,157,6,218,46,,, Chenango,0,0,0,0,0,0,0,0,0,0,136,11,58,205,"19,461"
 Clinton,"18,072","9,892","1,223",889,193,9,260,39,,, Clinton,0,0,0,0,0,0,0,0,0,0,241,0,79,320,"30,897"
 Columbia,"15,241","10,600","1,625",980,259,14,299,41,,, Columbia,0,0,0,0,0,0,0,0,0,0,108,41,70,219,"29,278"
 Cortland,"9,965","7,859",836,517,161,7,187,29,,, Cortland,0,0,0,0,0,0,0,0,0,0,109,6,63,178,"19,739"
 Delaware,"7,881","9,086",852,423,199,3,170,24,,, Delaware,0,0,0,0,0,0,0,0,0,0,200,0,0,200,"18,838"
 Dutchess,"62,063","48,264","7,761","3,249",785,51,"1,105",146,,, Dutchess,7,0,0,0,0,0,0,0,0,0,926,9,274,"1,209","124,640"
 Erie,"227,325","149,683","19,992","10,031","2,898",142,"3,562",541,,, Erie,16,0,0,0,0,3,2,0,0,0,"3,240",0,0,"3,240","417,435"
 Essex,"9,368","6,076",571,416,107,4,134,27,,, Essex,0,0,0,0,1,0,0,0,0,0,169,0,13,182,"16,886"
 Franklin,"9,532","5,231",509,362,106,7,116,20,,, Franklin,0,0,0,0,0,0,0,0,0,0,85,39,51,175,"16,058"
 Fulton,"8,331","9,830",984,276,111,13,159,42,,, Fulton,0,0,0,0,0,0,0,0,0,0,144,9,53,206,"19,952"
 Genesee,"9,092","12,814","1,793",509,115,7,363,42,,, Genesee,0,0,0,0,0,3,0,0,0,0,160,57,8,225,"24,963"
 Greene,"8,485","9,811","1,363",545,141,10,233,61,,, Greene,0,0,0,0,0,0,0,0,0,0,420,0,19,439,"21,088"
 Hamilton,"1,092","1,771",161,36,14,0,28,11,,, Hamilton,0,0,0,0,0,0,0,0,0,0,30,43,0,73,"3,186"
 Herkimer,"10,826","12,166","1,116",447,172,7,259,42,,, Herkimer,0,0,0,0,0,0,0,0,0,0,185,86,5,276,"25,311"
 Jefferson,"16,231","16,435","1,687",868,151,4,271,61,,, Jefferson,0,0,0,0,0,0,0,0,0,0,484,4,0,488,"36,196"
 Lewis,"4,530","5,129",522,194,51,2,81,13,,, Lewis,0,0,0,0,0,0,0,0,0,0,154,0,0,154,"10,676"
 Livingston,"11,100","12,641","1,807",605,175,6,318,49,,, Livingston,3,0,0,0,0,0,0,0,0,0,292,17,66,375,"27,079"
 Madison,"13,231","12,011","1,611",640,238,10,297,56,,, Madison,0,0,0,0,0,0,0,0,0,0,142,95,0,237,"28,331"
 Monroe,"185,916","114,434","18,928","7,585","2,101",91,"3,572",334,,, Monroe,1,0,0,0,0,19,0,3,0,2,"1,103","1,531",827,"3,461","336,447"
 Montgomery,"8,106","8,046","1,288",387,93,5,161,41,,, Montgomery,1,0,0,0,0,0,0,0,0,0,195,19,58,272,"18,400"
 Nassau,"294,661","237,862","21,446","8,034","2,068",111,"2,998",294,,, Nassau,0,0,0,0,0,0,0,0,0,0,"2,031",638,677,"3,346","570,820"
 Niagara,"41,837","38,158","5,082","2,149",560,31,864,98,,, Niagara,0,0,0,0,0,0,0,1,0,0,804,0,233,"1,037","89,817"
 Oneida,"39,031","40,532","3,998","1,437",502,17,819,168,,, Oneida,0,0,0,0,0,0,0,0,0,0,964,0,196,"1,160","87,664"
 Onondaga,"117,470","69,357","9,474","4,784","1,584",55,"1,697",295,,, Onondaga,0,0,0,0,0,0,0,0,0,0,"1,718",0,1,"1,719","206,435"
 Ontario,"22,065","20,919","2,901","1,022",294,11,571,66,,, Ontario,2,0,0,0,0,0,0,0,0,0,317,122,2,441,"48,292"
 Orange,"70,742","58,003","7,364","2,573",700,32,"1,049",162,,, Orange,1,0,0,0,0,1,0,0,0,0,"2,871",347,1,"3,219","143,846"
,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Obama   Biden,Romney    Ryan,Romney    Ryan,Obama   Biden,Stein   Honkala,Lindsay  Osorio,Johnson             Gray,Goode    Clymer,,,County,Ross C. Anderson,Avery L. Ayers,Will Christensen,Stephen Durham,James Harris,Tom Hoefling,Merlin Miller,Jill Reed,Kevin Thorne,Jerry White,Blank,Void,Scattering,BVS Subtotal,Total
,DEM,REP,CON,WOR,GRN,PSL,LBT,CST,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,
 Orleans,"5,505","7,585","1,009",282,81,3,165,36,,, Orleans,0,0,0,0,0,0,1,0,0,0,70,24,39,133,"14,800"
 Oswego,"22,178","17,610","2,370","1,337",379,15,447,114,,, Oswego,0,0,0,0,0,0,0,0,0,0,304,52,141,497,"44,947"
 Otsego,"11,530","10,451","1,010",587,238,7,212,28,,, Otsego,0,0,0,0,0,0,0,0,0,1,130,1,75,206,"24,270"
 Putnam,"18,539","20,925","3,158",973,209,10,397,37,,, Putnam,0,0,0,0,0,0,0,0,0,0,158,0,97,255,"44,503"
 Rensselaer,"35,373","24,903","4,210","2,035",612,19,754,80,,, Rensselaer,4,0,0,0,0,0,0,0,0,0,572,10,0,582,"68,572"
 Rockland,"63,908","51,976","5,387","1,749",474,17,631,124,,, Rockland,7,0,0,0,2,0,0,0,0,0,"1,224",72,167,"1,463","125,738"
 Saratoga,"50,998","44,915","5,467","1,959",651,20,"1,147",115,,, Saratoga,2,0,0,0,0,0,0,2,0,0,551,0,234,785,"106,061"
 Schenectady,"35,330","22,952","3,616","1,514",514,19,692,131,,, Schenectady,0,0,0,0,0,0,0,0,0,0,423,0,165,588,"65,356"
 Schoharie,"5,119","6,497",970,308,108,7,129,20,,, Schoharie,0,0,0,0,0,0,0,0,0,0,122,12,49,183,"13,341"
 Schuyler,"3,444","3,798",483,230,75,1,80,19,,, Schuyler,0,0,0,0,0,0,0,0,0,0,47,0,16,63,"8,193"
 Seneca,"6,715","5,244",645,379,101,5,110,16,,, Seneca,0,0,0,0,0,0,0,0,0,0,51,16,51,118,"13,333"
 St. Lawrence,"20,488","13,543","1,595",865,227,10,276,63,,, St. Lawrence,0,0,0,0,0,0,0,0,0,0,409,0,124,533,"37,600"
 Steuben,"15,015","20,163","1,791",772,232,7,373,81,,, Steuben,0,0,0,0,0,2,0,0,0,0,191,59,95,345,"38,781"
 Suffolk,"292,238","246,044","36,087","11,841","2,528",148,"3,947",521,,, Suffolk,0,0,0,0,0,0,0,0,0,0,"3,882",596,912,"5,390","598,744"
 Sullivan,"14,612","11,347","1,358",656,188,7,195,50,,, Sullivan,0,0,0,0,0,0,0,0,0,0,256,57,2,315,"28,728"
 Tioga,"8,544","11,160",957,386,172,3,240,58,,, Tioga,0,0,0,0,0,3,0,0,0,0,123,1,66,190,"21,713"
 Tompkins,"24,872","10,191",916,"2,372",834,30,395,33,,, Tompkins,21,0,0,1,1,0,0,1,0,3,272,0,0,272,"39,942"
 Ulster,"44,480","26,123","3,636","3,272",944,44,768,78,,, Ulster,0,0,0,0,0,0,0,0,0,0,478,36,281,795,"80,140"
 Warren,"14,276","12,925","1,194",530,220,8,312,49,,, Warren,0,0,0,0,0,0,0,0,0,0,188,13,64,265,"29,779"
 Washington,"10,993","9,793","1,292",530,177,6,222,43,,, Washington,0,0,0,0,0,0,0,0,0,0,154,0,39,193,"23,249"
 Wayne,"15,732","17,248","2,812",903,222,15,424,83,,, Wayne,0,0,0,0,0,0,0,0,0,0,198,57,108,363,"37,802"
 Westchester,"234,778","131,139","11,983","6,007","1,627",76,"2,042",228,,, Westchester,0,0,0,2,0,2,0,2,0,0,"3,465",0,561,"4,026","391,912"
 Wyoming,"5,357","9,248","1,100",304,96,6,135,55,,, Wyoming,0,0,0,0,0,0,0,0,0,0,77,4,34,115,"16,416"
 Yates,"4,259","4,269",529,229,67,3,69,17,,, Yates,0,0,0,0,0,0,0,0,0,0,57,15,0,72,"9,514"
Total Outside NYC,"2,391,747","1,826,581","226,961","98,753","27,953","1,267","37,770","5,396",,,Total Outside NYC,66,0,0,3,4,33,3,9,0,7,"33,354","4,250","6,970","44,574","4,661,127"
 Bronx,"334,642","26,682","3,285","4,569",774,105,608,122,,, Bronx,6,0,0,1,6,0,0,2,0,1,"2,834",0,135,"2,969","373,772"
 Kings *,"585,491","113,752","10,799","18,952","4,411",219,"2,500",276,,, Kings *,53,0,0,9,3,0,0,0,0,7,"4,546",0,510,"5,056","741,528"
 New York*,"488,670","85,256","4,314","14,042","3,860",230,"3,105",146,,, New York*,73,0,0,17,13,0,3,0,0,3,"3,599",0,616,"4,215","603,947"
 Queens,"461,545","108,881","9,708","9,187","2,465",183,"2,375",254,,, Queens,12,0,0,3,1,1,0,0,0,0,"4,763",0,630,"5,393","600,008"
 Richmond,"75,565","66,919","7,304","2,616",519,46,899,80,,, Richmond,7,0,0,1,0,0,0,1,0,1,819,0,222,"1,041","154,999"
Total NYC,"1,945,913","401,490","35,410","49,366","12,029",783,"9,487",878,,,Total NYC,151,0,0,31,23,1,3,3,0,12,"16,561",0,"2,113","18,674","2,474,254"
Statewide Total,"4,337,660","2,228,071","262,371","148,119","39,982","2,050","47,257","6,274",,,Statewide Total,217,0,0,34,27,34,6,12,0,19,"49,915","4,250","9,083","63,248","7,135,381"
,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAP,"4,485,779","2,490,442",,,"39,982","2,050","47,257","6,274",,,RECAP,217,0,0,34,27,34,6,12,0,19,,,,,
